Registered S3 methods overwritten by 'RcppGSL':
  method               from     
  predict.fastLm       RcppEigen
  print.fastLm         RcppEigen
  summary.fastLm       RcppEigen
  print.summary.fastLm RcppEigen
Loading required package: future
[2026-07-22 13:58:19] EXPERIMENT START | scenarios=4 | q-levels=6 | repliche/scenario/q=500 | total jobs=12000
[2026-07-22 13:58:20] START  scenario=unif_big | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:05:58] PROGRESS scenario=zipf_heavy | 1450/3000 (48.3%) | q=0.001 rep=242 | elapsed=00:02:22 | ETA=00:02:32 | rate=10.228 job/s
[2026-07-22 14:06:03] PROGRESS scenario=zipf_heavy | 1500/3000 (50.0%) | q=0.005 rep=250 | elapsed=00:02:27 | ETA=00:02:27 | rate=10.228 job/s
[2026-07-22 14:06:08] PROGRESS scenario=zipf_heavy | 1550/3000 (51.7%) | q=0.0001 rep=259 | elapsed=00:02:32 | ETA=00:02:22 | rate=10.228 job/s
[2026-07-22 14:06:13] PROGRESS scenario=zipf_heavy | 1600/3000 (53.3%) | q=0.001 rep=267 | elapsed=00:02:36 | ETA=00:02:17 | rate=10.229 job/s
[2026-07-22 14:06:18] PROGRESS scenario=zipf_heavy | 1650/3000 (55.0%) | q=0.005 rep=275 | elapsed=00:02:41 | ETA=00:02:12 | rate=10.233 job/s
[2026-07-22 14:06:23] PROGRESS scenario=zipf_heavy | 1700/3000 (56.7%) | q=0.0001 rep=284 | elapsed=00:02:46 | ETA=00:02:07 | rate=10.237 job/s
[2026-07-22 14:06:28] PROGRESS scenario=zipf_heavy | 1750/3000 (58.3%) | q=0.001 rep=292 | elapsed=00:02:51 | ETA=00:02:02 | rate=10.233 job/s
[2026-07-22 14:06:32] PROGRESS scenario=zipf_heavy | 1800/3000 (60.0%) | q=0.005 rep=300 | elapsed=00:02:56 | ETA=00:01:57 | rate=10.237 job/s
[2026-07-22 14:06:37] PROGRESS scenario=zipf_heavy | 1850/3000 (61.7%) | q=0.0001 rep=309 | elapsed=00:03:01 | ETA=00:01:52 | rate=10.241 job/s
[2026-07-22 14:06:42] PROGRESS scenario=zipf_heavy | 1900/3000 (63.3%) | q=0.001 rep=317 | elapsed=00:03:05 | ETA=00:01:47 | rate=10.243 job/s
[2026-07-22 14:06:47] PROGRESS scenario=zipf_heavy | 1950/3000 (65.0%) | q=0.005 rep=325 | elapsed=00:03:10 | ETA=00:01:43 | rate=10.239 job/s
